game_id,matchup,date,name,usage %,minutes,jokic_playing
0022500537,DEN vs. ATL,2026-01-09,Aaron Gordon,26.36,25,False
0022500716,DEN @ DET,2026-02-03,Jamal Murray,26.34,37,True
0022500554,DEN vs. MIL,2026-01-11,Peyton Watson,26.27,39,False
0022500567,DEN @ NOP,2026-01-13,Aaron Gordon,26.19,30,False
0022500178,DEN vs. MIA,2025-11-05,Aaron Gordon,26.02,31,True
0022500711,DEN vs. OKC,2026-02-01,Nikola Jokić,25.82,29,True
0022500684,DEN vs. BKN,2026-01-29,Peyton Watson,25.78,34,False
0022500567,DEN @ NOP,2026-01-13,Peyton Watson,25.72,39,False
0022500248,DEN vs. CHI,2025-11-17,Aaron Gordon,25.55,32,True
0022500299,DEN @ PHX,2025-11-29,Nikola Jokić,25.54,31,True
0022500752,DEN @ CHI,2026-02-07,Tim Hardaway Jr.,25.42,29,True
0022500178,DEN vs. MIA,2025-11-05,Nikola Jokić,25.39,36,True
0022500507,DEN @ PHI,2026-01-05,Peyton Watson,25.36,44,False
0022500684,DEN vs. BKN,2026-01-29,Jonas Valančiūnas,25.36,25,False
0022500617,DEN vs. LAL,2026-01-20,Peyton Watson,25.28,38,False
0022501208,DEN @ SAC,2025-12-11,Jamal Murray,25.19,26,True
0022500600,DEN vs. WAS,2026-01-17,Peyton Watson,24.99,35,False
0022500054,DEN @ HOU,2025-11-21,Jamal Murray,24.9,41,True
0022500640,DEN @ MIL,2026-01-23,Bruce Brown,24.71,26,False
0022500507,DEN @ PHI,2026-01-05,Julian Strawther,24.67,15,False
0022500507,DEN @ PHI,2026-01-05,Hunter Tyson,24.49,19,False
0022500037,DEN vs. GSW,2025-11-07,Jamal Murray,24.45,31,True
0022500299,DEN @ PHX,2025-11-29,Tim Hardaway Jr.,24.38,27,True
0022500629,DEN @ WAS,2026-01-22,Peyton Watson,24.36,40,False
0022500575,DEN @ DAL,2026-01-14,Peyton Watson,24.29,31,False
0022500605,DEN vs. CHA,2026-01-18,Zeke Nnaji,24.19,23,False
0022500520,DEN @ BOS,2026-01-07,Aaron Gordon,23.95,23,False
0022500711,DEN vs. OKC,2026-02-01,Jamal Murray,23.94,35,True
0022500026,DEN @ POR,2025-10-31,Jamal Murray,23.81,34,True
0022500605,DEN vs. CHA,2026-01-18,Hunter Tyson,23.79,21,False
0022500212,DEN @ SAC,2025-11-11,Jamal Murray,23.75,37,True
0022500359,DEN @ CHA,2025-12-07,Peyton Watson,23.69,30,True
0022500189,DEN vs. IND,2025-11-08,Tim Hardaway Jr.,23.6,24,True
0022500340,DEN @ ATL,2025-12-05,Jamal Murray,23.48,38,True
0022500617,DEN vs. LAL,2026-01-20,Tim Hardaway Jr.,23.36,31,False
0022500299,DEN @ PHX,2025-11-29,Jonas Valančiūnas,23.32,15,True
0022500212,DEN @ SAC,2025-11-11,Aaron Gordon,23.32,30,True
0022500752,DEN @ CHI,2026-02-07,Julian Strawther,23.11,33,True
0022500274,DEN vs. SAC,2025-11-22,Jamal Murray,22.99,37,True
0022500752,DEN @ CHI,2026-02-07,Nikola Jokić,22.8,33,True
0022500629,DEN @ WAS,2026-01-22,Tim Hardaway Jr.,22.76,20,False
0022500629,DEN @ WAS,2026-01-22,Bruce Brown,22.76,18,False
0022500026,DEN @ POR,2025-10-31,Tim Hardaway Jr.,22.73,22,True
0022500668,DEN vs. DET,2026-01-27,Bruce Brown,22.72,23,False
0022500134,DEN vs. NOP,2025-10-29,Christian Braun,22.69,27,True
